# x[m],y[m],yaw[rad],kappa[1/m],s[m]
2.9639,2.1302,1.813187,0.045875,0.0000
2.9396,2.2285,1.839205,0.311392,0.1012
2.9106,2.3341,1.878786,0.449797,0.2107
2.8796,2.4316,1.934467,0.594750,0.3130
2.8400,2.5356,2.005823,0.676659,0.4244
2.7941,2.6344,2.083386,0.675297,0.5333
2.7399,2.7306,2.153820,0.396932,0.6437
2.6842,2.8151,2.167333,0.104272,0.7449
2.6198,2.9100,2.176336,0.181537,0.8596
2.5583,2.9988,2.207758,0.397599,0.9676
2.4922,3.0882,2.263460,0.656595,1.0788
2.4223,3.1724,2.352584,1.159893,1.1882
2.3496,3.2456,2.509820,2.250451,1.2914
2.2626,3.3093,2.826049,4.090740,1.3993
2.1619,3.3422,-2.910064,4.812882,1.5051
2.0612,3.3184,-2.487028,2.796327,1.6086
1.9706,3.2489,-2.314727,1.058245,1.7228
1.8910,3.1624,-2.242743,0.450866,1.8403
1.8235,3.0775,-2.212926,0.154593,1.9488
1.7550,2.9859,-2.208286,-0.060309,2.0632
1.6855,2.8921,-2.226870,-0.271937,2.1800
1.6151,2.8007,-2.271402,-0.546156,2.2953
1.5440,2.7163,-2.350115,-1.065113,2.4057
1.4721,2.6436,-2.497692,-1.438479,2.5079
1.3808,2.5750,-2.660524,-1.076441,2.6221
1.2742,2.5194,-2.749200,-0.569389,2.7424
1.1779,2.4795,-2.788230,-0.208043,2.8466
1.0793,2.4432,-2.792724,0.162136,2.9516
0.9827,2.4080,-2.754530,0.667915,3.0544
0.8753,2.3642,-2.646567,1.603387,3.1705
0.7839,2.3149,-2.402441,3.680726,3.2743
0.7073,2.2451,-1.888461,4.677546,3.3780
0.6731,2.1411,-1.438317,3.101095,3.4874
0.6865,2.0400,-1.249191,1.463384,3.5895
0.7188,1.9432,-1.141081,0.853782,3.6915
0.7666,1.8389,-1.064391,0.548357,3.8062
0.8267,1.7306,-1.010357,0.419870,3.9300
0.8813,1.6435,-0.969290,0.382083,4.0328
0.9399,1.5581,-0.931512,0.386607,4.1364
1.0009,1.4761,-0.889741,0.411550,4.2386
1.0777,1.3813,-0.839243,0.519991,4.3607
1.1522,1.2983,-0.768308,0.854160,4.4722
1.2341,1.2192,-0.646924,1.166758,4.5860
1.3257,1.1499,-0.501990,1.284752,4.7009
1.4198,1.0983,-0.362215,1.223771,4.8082
1.5176,1.0613,-0.243376,0.985308,4.9127
1.6204,1.0357,-0.155127,0.651785,5.0187
1.7298,1.0186,-0.102309,0.369677,5.1294
1.8296,1.0084,-0.077130,0.143002,5.2298
1.9361,1.0002,-0.072679,0.018748,5.3366
2.0543,0.9915,-0.072906,0.039114,5.4551
2.1699,0.9831,-0.063512,0.112890,5.5710
2.2706,0.9767,-0.048426,0.177257,5.6719
2.3761,0.9716,-0.026901,0.237392,5.7775
2.4837,0.9687,0.002193,0.315805,5.8852
2.5910,0.9689,0.040980,0.466507,5.9925
2.6955,0.9732,0.101004,0.689721,6.0970
2.8183,0.9857,0.198133,1.144883,6.2204
2.9278,1.0076,0.369872,2.389302,6.3321
3.0349,1.0492,0.737436,4.009487,6.4470
3.1160,1.1228,1.254541,3.722658,6.5566
3.1519,1.2326,1.547534,1.874938,6.6721
3.1547,1.3509,1.688218,0.961191,6.7904
3.1416,1.4614,1.767654,0.564578,6.9016
3.1182,1.5786,1.818425,0.333212,7.0212
3.0879,1.6987,1.848735,0.175878,7.1451
3.0539,1.8178,1.861985,0.036863,7.2689
3.0197,1.9320,1.857694,-0.138899,7.3881
2.9886,2.0374,1.830157,-0.216108,7.4980
